"","GOI","Freq"
"180","ENSG00000134020.8",498
"150","ENSG00000126709.15",486
"397","ENSG00000205364.4",485
"380","ENSG00000198125.13",482
"378","ENSG00000197766.8",475
"448","ENSG00000225630.1",455
"465","ENSG00000233913.7",444
"58","ENSG00000101210.13",425
"182","ENSG00000134240.12",411
"183","ENSG00000134824.14",396
"314","ENSG00000170345.10",389
"142","ENSG00000125144.14",388
"295","ENSG00000167332.9",388
"35","ENSG00000081277.13",387
"352","ENSG00000184557.4",386
"42","ENSG00000090382.7",364
"260","ENSG00000160862.13",354
"14","ENSG00000025423.11",346
"120","ENSG00000117525.14",345
"61","ENSG00000101938.15",331
"403","ENSG00000211459.2",327
"68","ENSG00000104368.19",323
"350","ENSG00000183844.17",314
"244","ENSG00000157554.19",302
"265","ENSG00000162772.17",302
"43","ENSG00000090530.10",298
"216","ENSG00000144837.9",287
"218","ENSG00000145824.13",286
"290","ENSG00000166743.9",280
"420","ENSG00000211695.2",268
"97","ENSG00000109846.9",267
"75","ENSG00000105894.12",262
"256","ENSG00000159674.12",261
"232","ENSG00000152154.11",254
"157","ENSG00000128591.16",253
"139","ENSG00000124713.6",249
"270","ENSG00000163220.11",243
"371","ENSG00000196091.15",239
"29","ENSG00000073849.16",228
"345","ENSG00000182253.15",227
"88","ENSG00000108551.5",221
"220","ENSG00000146205.14",221
"297","ENSG00000167617.3",221
"21","ENSG00000065534.19",220
"263","ENSG00000162366.8",219
"240","ENSG00000156284.6",209
"349","ENSG00000183036.11",209
"253","ENSG00000159182.5",207
"268","ENSG00000163017.14",204
"336","ENSG00000176907.5",203
"321","ENSG00000171345.13",200
"381","ENSG00000198417.7",200
"231","ENSG00000152137.8",199
"223","ENSG00000148344.11",194
"54","ENSG00000100373.10",193
"38","ENSG00000085662.14",191
"210","ENSG00000143320.9",188
"327","ENSG00000172724.12",188
"179","ENSG00000133392.18",187
"369","ENSG00000189058.9",186
"339","ENSG00000179362.14",182
"122","ENSG00000120738.8",179
"129","ENSG00000122176.12",176
"66","ENSG00000103111.15",168
"96","ENSG00000109814.12",167
"153","ENSG00000127954.13",159
"332","ENSG00000175084.12",158
"217","ENSG00000145423.5",157
"10","ENSG00000014257.16",154
"163","ENSG00000130176.8",152
"25","ENSG00000069535.14",151
"195","ENSG00000138061.12",150
"111","ENSG00000116133.13",147
"168","ENSG00000130707.18",146
"191","ENSG00000137198.10",145
"194","ENSG00000137801.11",145
"249","ENSG00000158710.15",144
"219","ENSG00000146070.17",138
"326","ENSG00000172403.11",138
"229","ENSG00000151503.13",137
"236","ENSG00000154330.13",135
"375","ENSG00000196549.12",133
"99","ENSG00000111341.10",132
"166","ENSG00000130303.13",132
"90","ENSG00000108691.9",130
"116","ENSG00000117318.9",127
"124","ENSG00000120903.13",126
"215","ENSG00000144481.17",126
"27","ENSG00000072778.20",124
"239","ENSG00000155111.15",124
"269","ENSG00000163110.15",124
"26","ENSG00000071553.18",120
"143","ENSG00000125148.7",120
"78","ENSG00000106483.12",118
"201","ENSG00000140564.12",118
"362","ENSG00000187244.12",118
"373","ENSG00000196154.12",118
"63","ENSG00000102316.17",117
"109","ENSG00000115648.14",116
"57","ENSG00000100994.12",115
"107","ENSG00000115457.10",115
"206","ENSG00000142173.16",114
"213","ENSG00000143819.12",114
"164","ENSG00000130203.10",113
"273","ENSG00000163430.12",112
"87","ENSG00000108344.15",111
"274","ENSG00000163431.13",111
"353","ENSG00000184709.7",111
"13","ENSG00000022267.19",109
"64","ENSG00000102804.15",109
"117","ENSG00000117410.14",109
"167","ENSG00000130513.6",109
"80","ENSG00000106541.12",108
"135","ENSG00000124145.6",107
"17","ENSG00000042753.12",106
"100","ENSG00000111669.15",106
"238","ENSG00000155093.19",106
"370","ENSG00000189221.10",106
"50","ENSG00000099860.9",105
"158","ENSG00000129116.19",105
"387","ENSG00000198832.10",105
"152","ENSG00000127838.14",104
"287","ENSG00000165272.16",104
"16","ENSG00000034510.6",103
"70","ENSG00000104805.16",103
"105","ENSG00000115255.12",103
"115","ENSG00000117298.16",103
"262","ENSG00000161281.11",103
"7","ENSG00000011465.18",102
"82","ENSG00000106853.20",102
"103","ENSG00000113657.13",101
"372","ENSG00000196126.11",101
"382","ENSG00000198467.16",101
"388","ENSG00000198959.12",101
"76","ENSG00000105974.13",100
"198","ENSG00000139329.5",100
"39","ENSG00000086205.18",99
"209","ENSG00000143158.11",98
"324","ENSG00000172037.14",98
"307","ENSG00000169116.11",96
"23","ENSG00000067225.18",95
"59","ENSG00000101335.10",95
"361","ENSG00000187097.13",94
"243","ENSG00000157514.16",92
"384","ENSG00000198648.11",92
"264","ENSG00000162545.6",91
"325","ENSG00000172057.10",91
"119","ENSG00000117519.16",90
"338","ENSG00000177674.16",90
"376","ENSG00000196586.16",90
"227","ENSG00000149591.17",89
"248","ENSG00000158164.7",89
"46","ENSG00000095321.17",88
