"ENSEMBL","ENTREZID"
"ENSG00000101210","1917"
"ENSG00000232573","326307"
"ENSG00000180785","143503"
"ENSG00000120885","1191"
"ENSG00000085662","231"
"ENSG00000007255","79090"
"ENSG00000135929","1593"
"ENSG00000125534","79144"
"ENSG00000175793","2810"
"ENSG00000148344","9536"
"ENSG00000163017","72"
"ENSG00000106211","3315"
"ENSG00000198467","7169"
"ENSG00000169100","293"
"ENSG00000170421","3856"
"ENSG00000109846","1410"
"ENSG00000162366","10158"
"ENSG00000179593","247"
"ENSG00000149591","6876"
"ENSG00000128591","2318"
"ENSG00000100373","7380"
"ENSG00000101335","10398"
"ENSG00000158050","1844"
"ENSG00000197956","6277"
"ENSG00000188186","389541"
"ENSG00000108551","51655"
"ENSG00000199753","692227"
"ENSG00000165272","360"
"ENSG00000130222","10912"
"ENSG00000128422","3872"
"ENSG00000237973","107075141"
"ENSG00000141736","2064"
"ENSG00000089693","8079"
"ENSG00000175084","1674"
"ENSG00000171222","51282"
"ENSG00000182154","64975"
"ENSG00000141741","84299"
"ENSG00000280623","124900476"
"ENSG00000146205","50636"
"ENSG00000090382","4069"
"ENSG00000134824","9415"
"ENSG00000157554","2078"
"ENSG00000103111","22879"
"ENSG00000104368","5327"
"ENSG00000073756","5743"
"ENSG00000073849","6480"
"ENSG00000132465","3512"
"ENSG00000211660","28813"
"ENSG00000211945","28468"
"ENSG00000211648","28822"
"ENSG00000225937","50652"
"ENSG00000106541","10551"
"ENSG00000242899","729677"
"ENSG00000144837","51365"
"ENSG00000025423","8630"
"ENSG00000090530","55214"
"ENSG00000167332","81285"
"ENSG00000117525","2152"
"ENSG00000105974","857"
"ENSG00000146477","6581"
"ENSG00000182253","23336"
"ENSG00000152137","26353"
"ENSG00000014257","55"
"ENSG00000130176","1264"
"ENSG00000172403","171024"
"ENSG00000105894","5764"
"ENSG00000196091","4604"
"ENSG00000163110","10611"
"ENSG00000166823","55897"
"ENSG00000160862","563"
"ENSG00000124713","27232"
"ENSG00000124713","107080644"
"ENSG00000186081","3852"
"ENSG00000117472","10103"
"ENSG00000245532","283131"
"ENSG00000144339","23671"
"ENSG00000086205","2346"
"ENSG00000081277","5317"
"ENSG00000122026","6144"
"ENSG00000213626","81606"
"ENSG00000163220","6280"
"ENSG00000176907","56892"
"ENSG00000109814","7358"
"ENSG00000196586","4646"
"ENSG00000154447","57630"
"ENSG00000156284","9073"
"ENSG00000067113","8611"
"ENSG00000115758","4953"
"ENSG00000155111","23097"
"ENSG00000187097","957"
"ENSG00000138061","1545"
"ENSG00000123358","3164"
"ENSG00000170345","2353"
"ENSG00000225630","100652939"
"ENSG00000112715","7422"
"ENSG00000065534","4638"
"ENSG00000137801","7057"
"ENSG00000120738","1958"
"ENSG00000116574","58480"
"ENSG00000143320","1382"
"ENSG00000144481","79054"
"ENSG00000101938","91851"
"ENSG00000162817","79762"
"ENSG00000120903","1135"
"ENSG00000227191","6967"
"ENSG00000183844","54097"
"ENSG00000151503","23310"
"ENSG00000204388","3304"
"ENSG00000196154","6275"
"ENSG00000206503","3105"
"ENSG00000161281","1346"
"ENSG00000108691","6347"
"ENSG00000184557","9021"
"ENSG00000142871","3491"
"ENSG00000106853","22949"
"ENSG00000132821","128434"
"ENSG00000133392","4629"
"ENSG00000131981","3958"
"ENSG00000154330","5239"
"ENSG00000163431","25802"
"ENSG00000107796","59"
"ENSG00000183036","5121"
"ENSG00000196924","2316"
"ENSG00000099194","6319"
"ENSG00000132329","10267"
"ENSG00000204389","3303"
"ENSG00000080493","8671"
"ENSG00000127954","79689"
"ENSG00000198786","4540"
"ENSG00000212907","4539"
"ENSG00000137198","2766"
"ENSG00000099860","4616"
"ENSG00000189058","347"
"ENSG00000167779","3489"
"ENSG00000129116","23022"
"ENSG00000011465","1634"
"ENSG00000169116","25849"
"ENSG00000077942","2192"
"ENSG00000272398","100133941"
"ENSG00000106538","5919"
"ENSG00000113657","1809"
"ENSG00000145423","6423"
"ENSG00000180596","8347"
"ENSG00000022267","2273"
"ENSG00000162545","55450"
"ENSG00000228253","4509"
"ENSG00000100979","5360"
"ENSG00000185885","8519"
"ENSG00000069535","4129"
"ENSG00000116133","1718"
"ENSG00000246705","55766"
"ENSG00000109472","1363"
"ENSG00000143753","8560"
"ENSG00000159176","1465"
"ENSG00000136167","3936"
"ENSG00000121858","8743"
"ENSG00000124942","79026"
"ENSG00000196126","3123"
"ENSG00000112562","64094"
"ENSG00000157613","90993"
"ENSG00000130303","684"
"ENSG00000156587","9246"
"ENSG00000079308","7145"
"ENSG00000133321","5920"
"ENSG00000122176","2331"
"ENSG00000130707","445"
"ENSG00000131844","64087"
"ENSG00000141753","3487"
"ENSG00000152583","8404"
"ENSG00000184254","220"
"ENSG00000111341","4256"
"ENSG00000135842","116496"
"ENSG00000163430","11167"
"ENSG00000152518","678"
"ENSG00000198959","7052"
"ENSG00000122786","800"
"ENSG00000140416","7168"
"ENSG00000102804","8848"
"ENSG00000137076","7094"
"ENSG00000128016","7538"
"ENSG00000169504","25932"
"ENSG00000117519","1266"
"ENSG00000198648","27347"
"ENSG00000116741","5997"
"ENSG00000139329","4060"
"ENSG00000168542","1281"
"ENSG00000164692","1278"
"ENSG00000100097","3956"
"ENSG00000157514","1831"
"ENSG00000159182","84366"
"ENSG00000189221","4128"
"ENSG00000155093","5799"
"ENSG00000124145","6385"
"ENSG00000034510","9168"
"ENSG00000108679","3959"
"ENSG00000181885","1366"
"ENSG00000123983","2181"
"ENSG00000117298","1889"
"ENSG00000198832","140606"
"ENSG00000172037","3913"
"ENSG00000171223","3726"
"ENSG00000211445","2878"
"ENSG00000084207","2950"
"ENSG00000142156","1291"
"ENSG00000008988","6224"
"ENSG00000115461","3488"
"ENSG00000106624","165"
"ENSG00000138080","11117"
"ENSG00000166482","4239"
"ENSG00000182326","716"
"ENSG00000125730","718"
"ENSG00000132386","5176"
"ENSG00000174938","26470"
"ENSG00000100234","7078"
"ENSG00000177469","284119"
"ENSG00000187601","28986"
"ENSG00000090006","8425"
"ENSG00000135916","81618"
"ENSG00000142192","351"
"ENSG00000148180","2934"
"ENSG00000118523","1490"
"ENSG00000169710","2194"
"ENSG00000105707","3249"
"ENSG00000140526","11057"
"ENSG00000240342","100130562"
"ENSG00000095321","1384"
"ENSG00000198502","3127"
"ENSG00000011347","9066"
"ENSG00000158164","11013"
"ENSG00000151726","2180"
"ENSG00000169908","4071"
"ENSG00000157214","261729"
"ENSG00000234741","60674"
"ENSG00000127324","7103"
"ENSG00000116299","57535"
"ENSG00000182795","79098"
"ENSG00000125257","10257"
"ENSG00000168743","255743"
"ENSG00000084234","334"
"ENSG00000143158","25874"
"ENSG00000109586","51809"
"ENSG00000102172","6611"
"ENSG00000104154","7782"
"ENSG00000159184","10481"
"ENSG00000152377","6695"
"ENSG00000148908","6001"
"ENSG00000076864","5909"
"ENSG00000167034","4824"
"ENSG00000211689","6966"
"ENSG00000211689","445347"
"ENSG00000158715","85414"
"ENSG00000164647","26872"
"ENSG00000124664","25803"
"ENSG00000129514","3169"
"ENSG00000158747","4681"
"ENSG00000158747","100532736"
"ENSG00000167751","3817"
"ENSG00000017260","27032"
"ENSG00000187840","1978"
